id,name,sponsor,event,venue,place,city_state,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count,date_orig,decade
23087,Unknown Menu,WALDORF-ASTORIA,A LA CARTE MENU,COMMERCIAL,NYC,"NEW YORK, NY",FOLDER;ILLUS;6.25X9.5;,DAILY,MENU IN BOTH FRENCH & ENGLISH; ALL ITEMS PRICED SEPARATELY;,1907-876,,,1905-10-12,Waldorf Astoria,,Dollars,$,complete,4,316,1905-10-12,1900
23094,Unknown Menu,(NOT NOTED),NO. IV OF FIVE SUBSCRIPTION COTILLIONS,SOC?;,SHERRY'S [NY],"NEW YORK, NY",CARD;3.5 X 5.25;,OTHER (SOC?);,FRENCH; EVENT NOTED BY FEB;,1901-378,,,1901-02-15,Sherry's,,,,complete,2,19,1901-02-15,1900
23097,Unknown Menu,SHERIFF'S JURY SECOND PANEL,DINNER,POL;,"DELMONICO'S,[NY]","NEW YORK, NY",BOOKLET;ILL;COL;4.25X6.5;,BANQUET;,MENU IN FRENCH;WINES SERVED;EACH COURSE ON A SEPERATE PAGE WITH QUOTATIONS;MEMBERS LISTED;SEATING PLAN ATTACHED;,1899-151,,,1899-01-26,Sheriff's Jury Second Panel,,,,complete,36,30,1899-01-26,1890
23098,Unknown Menu,AMERICAN ASSOCIATION OF FREIGHT TAFFIC OFFICERS,SECOND ANNUAL BANQUET,PROF;,"WALDORF-ASTORIA, [NEW YORK]","NEW YORK, NY",BOOKLET; ILLUS; COL; 8.5 X 11;,ANNIVERSARY;,CHAMPAGNE; MENU IN FRENCH;  HUMOROUS MENU IN FORM OF SHIPPING NOTES; MOCK CARBON PAPER; ILLUSTRATION OF DOOR OF FREIGHT CAR;,1906-766,,,1906-10-17,American Association Of Freight Taffic Officers,,,,complete,10,25,1906-10-17,1900
23112,Unknown Menu,NINTH REGIMENT ARMORY,DINNER,MIL;,"RECTOR'S ,NY","NEW YORK, NY",BROADSIDE; ILLUS; 5X8;,?,PHOTO OF ARMORY;,1905-322,,,1905-04-29,Ninth Regiment Armory,,,,complete,2,21,1905-04-29,1900
23113,Unknown Menu,ADELPHIC COUNCIL NO.7,DINNER IN HONOR OF GEORGE MCGOWN OF PALMYRA NY,SOC;,MASONIC HALL NY,"NEW YORK, NY",CARD; ILLUS; 4.5X7.75,COMPLIMENTARY/TESTIMONIAL,"SEAL OF ORGANIZATION (MASONIC?), WINES;",1895-106,,,1895-06-01,Adelphic Council No.7,,,,complete,2,17,1895-06-01,1890
23136,Unknown Menu,H.D. BRISTOL'S OYSTER & CHOP HOUSE,BILL OF FARE,COMMERCIAL,362 SIXTH AVE. NY,"NEW YORK, NY",FOLDER; COL; 6.5 X 9.5;,DAILY;,FOOD ITEMS ALL PRICED; WINE LIST ON BACK;,1900-107,,,1900-01-10,H.D. Bristol's Oyster & Chop House,,Dollars,$,complete,4,389,1900-01-10,1900
23140,Unknown Menu,UNION LEAGUE CLUB,SPECIAL DEWEY LUNCH,SOC;,NEW YORK [NY],"NEW YORK, NY",CARD; 4.25 X 6.25;,COMPLIMENTARY/TESTIMONIAL,PRICED MENU; NOTE OF PLACE HANDWRITTEN BY FNB;,1899-590,,,1899-09-30,Union League Club,,Dollars,$,complete,2,33,1899-09-30,1890
23143,Unknown Menu,ST. DAVID'S SOCIETY OF THE STATE OF NY,DINNER FOR HON. ANTHONY HOWELLS,SOC;,CLARK'S [NYC?],"NEW YORK, NY",CARD; 3.5 X 6;,COMPLIMENTARY/TESTIMONIAL,FRENCH;,1893-081,,,1893-06-29,St. David's Society Of The State Of Ny,,,,complete,2,16,1893-06-29,1890
23144,Unknown Menu,PETER TIVNAN LUNCH CO.,DAILY MENU,COMMERCIAL,"GRAND CENTRAL LUNCH ROOMS, NEW YORK,NY","NEW YORK, NY",CARD;5X9.25;,,RUBBER STAMPED ITEMS INSERTED WITH NO APPARENT SYSTEM;ALWAYS OPEN;TRAIN LUNCHES A SPECIALTY;,1900-728,,,1900-02-05,Peter Tivnan Lunch Co.,,Dollars,$,complete,2,271,1900-02-05,1900
23151,Unknown Menu,LEON FLOURET CAFE & HOTEL,BREAKFAST & LUNCHEON,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",FOLDER; 7X10.75;,OTHER (DAILY MENU);,"FRENCH & ENGLISH; DINNER, $1.25; VERY, VERY EXTENSIVE PRICED WINE LIST;",1900-171,,,1900-01-11,Leon Flouret Cafe & Hotel,,Dollars,$,complete,4,281,1900-01-11,1900
23158,Unknown Menu,PARK AVENUE HOTEL,HALF PORTION BREAKFAST,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",CARD; ILLUS; COL; 4.25X7.75;,,A LA CARTE MENU; [DATE INFO SUPPLIED BY FEB]; HOTEL MONOGRAM AT TOP OF MENU;,1900-5010,,,1900-12-12,Park Avenue Hotel,,Dollars,$,complete,2,95,1900-12-12,1900
23167,Unknown Menu,HOTEL ST. ANDREW,SPECIAL DISHES OF TO-DAY,COMMERCIAL,"[NEW YORK, NY]","NEW YORK, NY",CARD; 4.25X6.75;,,HAND WRITTEN PRICED MENU;,1900-593,,,1900-01-29,Hotel St. Andrew,,Dollars,$,complete,2,21,1900-01-29,1900
23175,Unknown Menu,THE ANNEX,DAILY MENU,COMMERCIAL,"114 WEST FOURTEENTH STREET, NEW YORK","NEW YORK, NY",FOLDER; 6.25 X 9.5;,,PRICED MENU; MENU HANDWRITTEN;,1906-421,,,1906-04-27,The Annex,,Dollars,$,complete,4,69,1906-04-27,1900
23176,Unknown Menu,THE WALDORF,SUPPER MENU,COMMERCIAL,"[NEW YORK, NY?]","NEW YORK, NY",BROADSHEET; 6X8.5;,,DAILY MENU;,1896-075,,,1896-04-09,The Waldorf,,Dollars,$,complete,2,134,1896-04-09,1890
23181,Unknown Menu,CIRCULO COLON-CERVANTES,GALA BALL IN HONOR OF THEIR ROYAL HIGHNESSES INFANTA DONA EULALIA AND INFANTE DON ANTONIO,SOC;,"MADISON SQUARE CONCET HALL, NEW YORK, NY","NEW YORK, NY",BOOKLET; ILLUS; 6.5X9;,COMPLIMENTARY/TESTIMONIAL,INCLUDES WINES SERVED WITH EACH COURSE; ILLUSTRATION OF SEAL OF SPAIN AND ALSO THE CLUB; SILK RIBBON ATTACHMENTS,1893-071,,,1893-05-23,Circulo Colon Cervantes,,,,complete,4,28,1893-05-23,1890
23185,Unknown Menu,FLAT IRON RESTAURANT AND CAFE,DINNER SPECIALS,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",CARD; ILLUS; COL; 6.6X12;,,A LA CARTE DINNER MENU; DECORATIVE SKETCHES ON MENU;,1907-142,,,1907-01-28,Flat Iron Restaurant And Cafe,,Dollars,$,complete,2,49,1907-01-28,1900
23191,Unknown Menu,NAIONAL HOSE SHOW ASSOCIATION OF AMERICA,COMPLIMENTARY LUNCHEON,PROF;,MADISON SQUARE GARDEN,"NEW YORK, NY",FOLDER; 3.25 X 5.5;,COMPLIMENTARY/TESTIMONIAL,CREST;,1905-835,,,1905-11-12,National Horse Show Association Of America,,,,complete,4,17,1905-11-12,1900
23198,Unknown Menu,REPUBLICAN CLUB OF THE CITY OF NEW YORK,78TH ANNIVERSARY OF LINCOLN'S BIRTHDAY,POL,DELMONICO'S,"NEW YORK, NY",FOLDER; ILLUS; 7.25 x 10;,PAT,FRENCH; PORTRAIT OF LINCOLN ON COVER; PROGRAM INCLUDES TOASTS AND SPEECHES; ALSO INCLUDES SEATING PLAN AND COMMITTEE NAMES,1887-009,,,1887-02-12,Republican Club Of The City Of New York,,,,complete,3,22,1887-02-12,1880
23221,Unknown Menu,HOTEL ST. ANDREW,DINNER,COMMERCIAL,"NEW YORK,[NY]","NEW YORK, NY",FOLDER; 6.75X11.25;,,PRICED A LA CARTE MENU;,1900-588,,,1900-01-29,Hotel St. Andrew,,Dollars,$,complete,4,334,1900-01-29,1900
23229,Unknown Menu,TRAINOR'S HOTEL RESTAURANT,BREAKFAST,COMMERCIAL,1289 B'WAY  NY,"NEW YORK, NY",FOLDER; ILLUS; COL; 6.5 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-811,,,1900-02-08,Trainor's Hotel Restaurant,,Dollars,$,complete,4,426,1900-02-08,1900
23234,Unknown Menu,VIRGINIA HOTEL,TABLE D'HOTE,COMMERCIAL,"59TH STREET AND BROADWAY, NEW YORK [NY];","NEW YORK, NY",CARD; 6.0X9.25;,,"PARTIALLY PRINTED MENU ON FRONT; HAND WRITTEN ITEMS ON REVERSE IDENTIFIED AS ""TABLE D'HOTE WITH CLARET - 50CENTS - SERVED 5:30 TO 9:00""; SIGNED ON BOTTOM ""THEODORE THE CATERER"";",1900-473,,,1900-01-23,Virginia Hotel,,Dollars,$,complete,2,40,1900-01-23,1900
23237,Unknown Menu,AU LION D'OR HOTEL AND RESTAURANT;,DAILY MENU;,COMMERCIAL,"59-61 WEST 24TH STREET, NEW YORK [NY];","NEW YORK, NY",CARD; 7.25X9.25;,,PRICED WINE LIST PRINTED; UNPRICED HAND WRITTEN MENU;,1900-415,,,1900-01-19,Au Lion D'or Hotel And Restaurant;,,Dollars,$,complete,2,94,1900-01-19,1900
23241,Unknown Menu,HOTEL CLAREMONT,DAILY MENU,COMMERCIAL,"RIVERSIDE DRIVE, NEW YORK CITY, [NY]","NEW YORK, NY",BROADSHEET; 6.0X10.75;,,PRICED A LA CARTE MENU; PRICED WINE LIST;,1900-878,,,1900-02-12,Hotel Claremont,,Dollars,$,complete,2,226,1900-02-12,1900
23244,Unknown Menu,QUILL CLUB,DINNER,SOC;,"HOTEL MANHATTAN,NY","NEW YORK, NY",BROADSIDE; 3 X 6;,[ANNUAL],,1901-419,,,1901-02-19,Quill Club,,,,complete,2,16,1901-02-19,1900
23248,Unknown Menu,NY FRIENDS OF HON. CHRISTOPHER A. BUCKLEY,DINNER,SOCIAL,"DELMONICO'S,NY","NEW YORK, NY",3 CARDS JOINED BY RED RIBBON;ILLUS.COVER;5 X 7.75;,TESTIMONIAL DINNER TO HON. BUCKLEY,MENU IN FRENCH;INCLUDES WINES & PROGRAM;,1890-074,,,1890-06-24,Ny Friends Of Hon. Christopher A. Buckley,,,,complete,6,26,1890-06-24,1890
23253,Unknown Menu,2nd PANEL SHERIFFS JULY(?),DINNER,PROF;,"DELMONICO'S, NEW YORK, NY","NEW YORK, NY",CARD; ILLUS; 5X8;,COMPLIMENTARY/TESTIMONIAL,MENU HEADINGS IN FRENCH; BEVERAGE LIST; LOGO OF GROUP; SEE 1907-070;,1908-068,,,1908-01-23,2nd Panel Sheriffs July(?),,,,complete,2,30,1908-01-23,1900
23259,Unknown Menu,RESTAURANT MARTIN,DINNER,COMMERCIAL,"UNIVERSITY PLACE, NEW YORK, NY","NEW YORK, NY",FOLDER; 7.0X10.75,,PRICED A LA CARTE MENU; PARTIALLY HAND WRITTEN; PRICED WINE LIST;,1900-140,,,1900-01-10,Restaurant Martin,,Dollars,$,complete,4,388,1900-01-10,1900
23260,Unknown Menu,SHANLEY'S,DAILY MENU,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",FOLDER; ILLUS; COL; 7X11;,,A LA CARTE MENU; RESTAURANT LOGO ON COVER; PRICED WINE LIST ON BACK COVER; [DATE INFO SUPPLIED BY FEB];,1905-474,,,1905-06-15,Shanley's,,Dollars,$,complete,4,442,1905-06-15,1900
23261,Unknown Menu,CAFETERIA LUNCH,DAILY MENU,COMMERCIAL,"57 BROAD STREET, NEW YORK, [NY]","NEW YORK, NY",FOLDER; ILLUS; 6 X 9.5;,,PARTIALLY HANDWRITTEN INCLUDING DRAWING; DRAWING OF MMOSE ON BACK COVER;,1900-482,,,1900-01-24,Cafeteria Lunch,,Dollars,$,complete,4,122,1900-01-24,1900
23267,Unknown Menu,COLLEGE OF THE CITY OF NEW YORK ALUMNI,ANNUAL DINNER,EDUC;,"HOTEL SAVOY, [NY]","NEW YORK, NY",BOOKLET; ILLUS; 6 X 8.5;,ANNIVERSARY;,"MENU IN FRENCH WITH LITERARY QUOTES IN ENGLISH; PRICED WINE LIST; PHOTOGRAPHS ON FRONT AND REAR COVERS TITLED RESPICE AND PROSPICE; RED, WHITE AND BLUE CORD; TOASTS;",1901-192,,,1901-01-26,College Of The City Of New York Alumni,,,,complete,8,30,1901-01-26,1900
23309,Unknown Menu,MR.J. KENNEDY TOD-11 EAST 9TH ST.,[DINNER],,"DELMONICO'S,NY","NEW YORK, NY",CARD;3.5 X4.5;,,MENU ALL IN FRENCH;WINES NOTED;,1895-187,,,1895-11-21,Mr.J. Kennedy Tod 11 East 9th St.,,,,complete,2,24,1895-11-21,1890
23316,Unknown Menu,ST.ANDREWS SOCIETY OF THE STATE OF NEW YORK,BANQUET,RELIG;,"DELMONICO'S,NY","NEW YORK, NY",FOLDER;ILLUS;COL;5.25X8.25;,ANNIVERSARY;141ST;,PRICED WINE LIST;TOASTS;SONGS;,1897-316,,,1897-11-30,St.Andrews Society Of The State Of New York,,Dollars,$,complete,4,42,1897-11-30,1890
23320,Unknown Menu,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH STREET, NY, NY","NEW YORK, NY",FOLDER; ILLUS; 7 X 9.5;,,PRICED MENU; SPECIAL DISHES; GOLD EMBOSSED GRIFFON;,1900-653,,,1900-01-31,Rector's,,Dollars,$,complete,4,313,1900-01-31,1900
23339,Unknown Menu,PAWNBROKERS' ASSOCIATION OF THE CITY OF NEW YORK,NINTH ANNUAL DINNER,PROF;,"HOTEL SAVOY, 5TH AVENUE AND 59TH STREET; NEW YORK","NEW YORK, NY",CARD; 4.5 X 6.75;,ANNIVERSARY;,COCKTAILS AND WINES; BLUE PRINT;,1906-465,,,1906-05-15,Pawnbrokers' Association Of The City Of New York,,,,complete,2,22,1906-05-15,1900
23342,Unknown Menu,(FIFTH AVENUE HOTEL?},DINNER MENU,[COM?];,"[NEW YORK, NY?]","NEW YORK, NY",BROADSIDE; 5.5X8.25;,,IDENTICAL FORMAT FOR NEW YEAR'S DAY MENU IDENTIFIED BY FNB AS FIFTH AVENUE HOTEL (1894-007 MISSING) HOTEL;,1897-008,,,1897-01-05,(Fifth Avenue Hotel?},,,,complete,2,72,1897-01-05,1890
23357,Unknown Menu,DUTCHESS COUNTY SOCIETY OF CITY OF NEW YORK,ANNUAL DINNER,SOC;,"DELMONICO'S, NEW YORK, NY","NEW YORK, NY",BOOKLET; ILLUS; COL; 5.25X6.5;,ANNIVERSARY;,"FRENCH; VINS A LA CARTE; TOASTS; OFFICERS, BANQUET COMMITTEE LISTED; GOLD & WHITE SATIN RIBBON ATTACHMENTS; SEAL ON COVER;",1901-522,,,1901-03-01,Dutchess County Society In The City Of New York,,,,complete,6,17,1901-03-01,1900
23362,Unknown Menu,HARDWARE AND METAL TRADES,SEVENTH DINNER,COMMERCIAL,"HOTEL SAVOY, NEW YORK, NY","NEW YORK, NY",BOOKLET; 5.25X7.5;,OTHER (ANNIVERSARY);,"INCLUDES PRICED WINE LIST; DETAILED SEATING PLAN INCLUDED, AS WELL AS MEMBERSHIP LIST; TOASTS; 2 COPIES",1896-044,,,1896-02-20,Hardware And Metal Trades,,,,complete,16,23,1896-02-20,1890
23371,Unknown Menu,FRIENDS OF HON. PHILIP BLOCH,"BANQUET TENDERED TO HON. PHILIP BLOCH, IN CELEBRATION OF HIS ELECTION AS SECRETARY OF THE BOARD OF POLICE MAGISTRATES",OTHER (PRIVATE GROUP OF FRIENDS);,"NEW YORK, NY","NEW YORK, NY",FOLDER; ILLUS; COL; 5.5X8.5;,COMPLIMENTARY/TESTIMONIAL,FRENCH; INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; THIS IS FIRST TIME I HAVE SEEN COCKTAILS LISTED WITH FIRST COURSE-OYSTERS; USA SEAL ON COVER; TRIBUTE WRITTEN TO GUEST OF HONOR ON FIRST PAGE;,1900-046,,,1900-01-05,Friends Of Hon. Philip Bloch,,,,complete,4,29,1900-01-05,1900
23391,Unknown Menu,ILLINOIS SOCIETY OF NEW YORK,DINNER IN HONOR OF LYMAN F. GAGE,PATR;,"WALDORF- ASTORIA, NEW YORK","NEW YORK, NY",FOLDER; ILLUS; COL; 10 X 14;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; MENU IN FRENCH; BLACK STOCK WITH GOLD LETTERING U.S. TREASURY; SEAL OF SOCIETY; PICTURE OF LYMAN GAGE AND BUILDINGS IN GREEN BANKNOTE STOCK;,1906-122,,,1906-02-03,Illinois Society Of New York,,,,complete,4,27,1906-02-03,1900
23393,Unknown Menu,HARDWARE AND METAL TRADES,SIXTH DINNER,COMMERCIAL,"SHERRY'S, NY","NEW YORK, NY",BOOKLET; COL; ILLUS; 5.5 X 7;,OTHER (ANNIV),"SILVER COVER EMBOSSED WITH DESIGNS AND NAME OF GUEST (W.E.PECK); AUTOGRAPHS, SEATING PLAN; NAMES OF COMPANIES; SOME FRENCH;",1895-028,,,1895-01-31,Hardware And Metal Trades,,,,complete,18,15,1895-01-31,1890
23402,Unknown Menu,DENNETT'S,DAILY MENU,COMMERCIAL,"25 PARK ROW, [NY]","NEW YORK, NY",CARD; 5.25 X 9.75;,,PRICED MENU; NOTE ABOUT PURITY OF WATER;,1900-453,,,1900-01-22,Dennett's,,Dollars,$,complete,2,116,1900-01-22,1900
23418,Unknown Menu,COLUMBIA DAIRY KITCHEN;,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET, UNION SQUARE, NY","NEW YORK, NY",FOLDER; 6 X 10;,,PRICED MENU; DAILY SPECIALS; TRANSPORTATION DIRECTIONS; LIST OF THEATRES AND PROGRAMS IN THE AREA; BOXED CANDY AND CIGARS AVAILABLE; DIRECTIONS TO TOILETS;,1900-792,,,1900-02-07,Columbia Dairy Kitchen;,,Dollars,$,complete,4,357,1900-02-07,1900
23420,Unknown Menu,RENS.POLY.INST.,ALUMNI REUNION,EDUC;,DELMONICO'S NY,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 4.5 X 7;,[REUNION],MENU IN FRENCH,1898-067,,,1898-02-04,Rens.Poly.Inst.,,,,complete,2,19,1898-02-04,1890
23427,Unknown Menu,JERUSALEM CHAPTER NO 8 R.A.M.,CENTENIAL ANNIVERSARY DINNER,SOC;,"HOTEL SAVOY,[NY]","NEW YORK, NY",BOOKLET;ILL;COL;4X7.25;,ANNIVERSARY;,MASONIC ORGANIZATION;FRENCH MENU;NAMES LISTED;,1899-382,,,1899-04-22,Jerusalem Chapter No 8 R.A.M.,,,,complete,8,24,1899-04-22,1890
23432,Unknown Menu,EASTERN HOTEL,BILL OF FARE,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",BOOKLET; ILLUS; 5.5X8.5;,OTHER (DAILY MENU);,SPECIAL ITEMS HANDWRITTEN IN FADED VIOLET INK; INCLUDES PRICED WINE LIST; DECORATIVE BORDER;,1900-167,,,1900-01-11,Eastern Hotel,,Dollars,$,complete,3,257,1900-01-11,1900
23438,Unknown Menu,ST. REGIS HOTEL,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",CARD; 5X8;,,FRENCH AND ENGLISH;,1906-286,,,1906-03-09,St. Regis Hotel,,Dollars,$,complete,2,190,1906-03-09,1900
23450,Unknown Menu,PHI ALPHA SIGMA FRATERNITY  ALPHA AND GAMMA CHAPTERS,ANNUAL DINNER,SOC;,HOTEL MANHATTAN [NY],"NEW YORK, NY",BOOKLET; 4.5 X 6.5;,ANNIVERSARY;,WINES; LIST OF MEMBERS; TOASTS; FROM LIST OF MEMBERS THIS APPEARS TO BE A MEDICAL FRATERNITY;,1899-356,,,1899-04-14,Phi Alpha Sigma Fraternity  Alpha And Gamma Chapters,,,,complete,8,21,1899-04-14,1890
23457,Unknown Menu,ST. REGIS HOTEL,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY","NEW YORK, NY",CARD; 5X8;,,FRENCH AND ENGLISH;,1906-296,,,1906-03-12,Hotel St. Regis,,Dollars,$,complete,2,188,1906-03-12,1900
23458,Unknown Menu,PENATAQUIT CORINTHIAN YACHT CLUB,THIRD ANNUAL DINNER,SOC;,"HOTEL MANHATTAN, [NY]","NEW YORK, NY",FOLDER; ILLUS; COL; 5 X 7;,ANNIVERSARY;,ORNAMENTAL BORDER; RED AND BLUE CLUB CREST;,1899-161,,,1899-02-01,Penataquit Corinthian Yacht Club,,,,complete,4,20,1899-02-01,1890
